,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/SN,logdir
0,2.008099874336097,0.4837603086062927,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_00_cmd_res_ex_50_128_a6_h50_e1000,1721253903,,True,1,31f0c1da,2024-07-17_18-05-03,3363.155085325241,3363.155085325241,2100939,CICSUNIX-US-003,172.31.105.37,3363.155085325241,1,0.0006003565048782666,0.1780072986231734,50,128,50,6,4,31f0c1da
1,5.0126310667138965,1.2539733114718121,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_01_cmd_res_ex_128_100_a4_h40_e1000,1721253971,,True,1,8bff7bcc,2024-07-17_18-06-11,3429.87314081192,3429.87314081192,2101035,CICSUNIX-US-003,172.31.105.37,3429.87314081192,1,8.041042316626995e-06,0.015064316767564605,128,100,40,4,4,8bff7bcc
2,2.060415851583661,0.4129375077222103,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_03_cmd_res_ex_80_70_a3_h80_e1000,1721253863,,True,1,e62d3313,2024-07-17_18-04-23,3320.206534385681,3320.206534385681,2101124,CICSUNIX-US-003,172.31.105.37,3320.206534385681,1,0.0009453906078469922,0.15351322359580852,80,70,80,3,8,e62d3313
3,3.102375588031862,0.6830082172657643,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_04_cmd_res_ex_40_128_a6_h40_e1000,1721253873,,True,1,eebdead7,2024-07-17_18-04-33,3329.120045900345,3329.120045900345,2101215,CICSUNIX-US-003,172.31.105.37,3329.120045900345,1,5.980008326660978e-05,0.09402077882130813,40,128,40,6,6,eebdead7
4,1.9746475126867673,0.44443973728891734,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_06_cmd_res_ex_70_80_a3_h100_e1000,1721253744,,False,1,8dfe3f1b,2024-07-17_18-02-24,3198.8521559238434,3198.8521559238434,2101547,CICSUNIX-US-003,172.31.105.37,3198.8521559238434,1,0.002155319561356793,0.044113896282773395,70,80,100,3,4,8dfe3f1b
5,1.9066082441236674,0.43199191977109447,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_07_cmd_res_ex_80_128_a4_h50_e1000,1721253874,,False,1,b02705d9,2024-07-17_18-04-34,3326.6994276046753,3326.6994276046753,2101640,CICSUNIX-US-003,172.31.105.37,3326.6994276046753,1,0.0004304909954662636,0.19057687058683784,80,128,50,4,6,b02705d9
6,1.7926962720035533,0.4297451075338758,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_08_cmd_res_ex_70_100_a6_h40_e1000,1721253870,,False,1,fa698234,2024-07-17_18-04-30,3321.3568007946014,3321.3568007946014,2101715,CICSUNIX-US-003,172.31.105.37,3321.3568007946014,1,0.000768752711340464,0.14874430059386254,70,100,40,6,6,fa698234
7,1.6195427919669627,0.39840971942908054,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_10_cmd_res_ex_100_90_a6_h128_e1000,1721253917,,False,1,4d95cded,2024-07-17_18-05-17,3366.81347489357,3366.81347489357,2101792,CICSUNIX-US-003,172.31.105.37,3366.81347489357,1,0.001083031517401333,0.15255059537636242,100,90,128,6,8,4d95cded
8,1.6665396566154251,0.4933446477034878,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_12_cmd_res_ex_70_90_a4_h40_e1000,1721253866,,False,1,cb951b0a,2024-07-17_18-04-26,3314.8602426052094,3314.8602426052094,2101874,CICSUNIX-US-003,172.31.105.37,3314.8602426052094,1,0.003832492781240178,0.06890502267634749,70,90,40,4,8,cb951b0a
9,6.2603979984265,1.503715501502569,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_13_cmd_res_ex_50_90_a3_h128_e1000,1721253852,,True,1,b01cec1a,2024-07-17_18-04-12,3298.460844039917,3298.460844039917,2101951,CICSUNIX-US-003,172.31.105.37,3298.460844039917,1,7.983695947932732e-06,0.11421188597686449,50,90,128,3,6,b01cec1a
10,5.408285932948395,1.3174949496760493,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_15_cmd_res_ex_50_128_a5_h100_e1000,1721253924,,True,1,2a09a2f2,2024-07-17_18-05-24,3368.5691199302673,3368.5691199302673,2102029,CICSUNIX-US-003,172.31.105.37,3368.5691199302673,1,1.2412203506768985e-05,0.16737086665232412,50,128,100,5,6,2a09a2f2
11,1.9678812017853564,0.4121485811328309,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_17_202417_09_17_cmd_res_ex_40_100_a3_h50_e1000,1721253803,,False,1,e193d97f,2024-07-17_18-03-23,3245.8040730953217,3245.8040730953217,2102108,CICSUNIX-US-003,172.31.105.37,3245.8040730953217,1,0.004210373359699307,0.05076875097590847,40,100,50,3,4,e193d97f
