,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/gamma,config/SN,logdir
0,2.3844791120189655,0.5627449405409128,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202418_10_49_cmd_residual,1716503214,,True,1,4d44cbbb,2024-05-23_18-26-54,964.5971412658691,964.5971412658691,3052412,CICSUNIX-US-003,172.31.105.37,964.5971412658691,1,0.0016837464149299674,0.17078288112775658,10,2,4d44cbbb
1,4.653840623999939,1.441046799462665,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202418_26_55_cmd_residual,1716504189,,True,1,2a16aa66,2024-05-23_18-43-09,974.286657333374,974.286657333374,3262458,CICSUNIX-US-003,172.31.105.37,974.286657333374,1,0.003488310939118677,0.15492695633609926,10,1,2a16aa66
2,2.7810991687309037,0.6053117582389864,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202418_43_11_cmd_residual,1716505143,,True,1,09d64bec,2024-05-23_18-59-03,952.3434660434723,952.3434660434723,3472556,CICSUNIX-US-003,172.31.105.37,952.3434660434723,1,0.00657717409430168,0.07639292861010791,20,4,09d64bec
3,3.4585839046636373,0.9777483602666216,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202418_59_05_cmd_residual,1716506122,,True,1,c4775485,2024-05-23_19-15-22,976.4468162059784,976.4468162059784,3682040,CICSUNIX-US-003,172.31.105.37,976.4468162059784,1,8.255154347036627e-05,0.08920296597856249,20,4,c4775485
4,3.0368978050751902,0.7437322249776194,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202419_15_23_cmd_residual,1716507081,,True,1,1b1c45ef,2024-05-23_19-31-21,958.1201043128967,958.1201043128967,3891626,CICSUNIX-US-003,172.31.105.37,958.1201043128967,1,0.0005325061376421723,0.22784404175664938,10,6,1b1c45ef
5,6.874393494991585,2.0800718519580177,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202419_31_23_cmd_residual,1716508043,,True,1,425e3071,2024-05-23_19-47-23,959.5978043079376,959.5978043079376,4101154,CICSUNIX-US-003,172.31.105.37,959.5978043079376,1,5.809048501954397e-06,0.22475150371638314,20,2,425e3071
6,4.700971622209444,1.5438367544707998,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202419_47_24_cmd_residual,1716508983,,True,1,d91a1db9,2024-05-23_20-03-03,938.9494366645813,938.9494366645813,117578,CICSUNIX-US-003,172.31.105.37,938.9494366645813,1,0.0024659995633166455,0.22132932494778704,10,1,d91a1db9
7,2.354355980144865,0.5536248459481657,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202420_03_06_cmd_residual,1716509940,,True,1,c4421474,2024-05-23_20-19-00,954.3349554538727,954.3349554538727,326975,CICSUNIX-US-003,172.31.105.37,954.3349554538727,1,0.002352955093414834,0.1831046535707076,10,2,c4421474
8,2.270329521280263,0.5319216601653871,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202420_19_02_cmd_residual,1716510864,,True,1,b648eda7,2024-05-23_20-34-24,922.2077770233154,922.2077770233154,536412,CICSUNIX-US-003,172.31.105.37,922.2077770233154,1,0.001877526597765417,0.012514295947326169,10,4,b648eda7
9,4.872369690271027,1.5645385063337875,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202420_34_26_cmd_residual,1716511822,,True,1,dc2302a8,2024-05-23_20-50-22,956.1331021785736,956.1331021785736,745710,CICSUNIX-US-003,172.31.105.37,956.1331021785736,1,3.531309488240902e-05,0.21952476520639935,10,4,dc2302a8
10,2.6165944896409585,0.653809715313202,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202420_50_24_cmd_residual,1716512789,,True,1,5904870b,2024-05-23_21-06-29,965.2434391975403,965.2434391975403,955165,CICSUNIX-US-003,172.31.105.37,965.2434391975403,1,0.0003762261750408794,0.03196273904413585,10,4,5904870b
11,2.4239633920324914,0.569456407733303,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202421_06_31_cmd_residual,1716513765,,True,1,835becf5,2024-05-23_21-22-45,973.6489315032959,973.6489315032959,1164719,CICSUNIX-US-003,172.31.105.37,973.6489315032959,1,0.0004604690473869691,0.02471246198522222,20,6,835becf5
12,2.6205950851343704,0.6259751341046261,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202421_22_47_cmd_residual,1716514730,,True,1,a1fe2c69,2024-05-23_21-38-50,963.5538063049316,963.5538063049316,1374277,CICSUNIX-US-003,172.31.105.37,963.5538063049316,1,0.0009192582692412807,0.024635269085808154,10,2,a1fe2c69
13,2.981391553723268,0.8310742880887843,8.368166382361677,2.507451045234803,8.601614222277812,2.6316270011156018,05_23_202421_38_52_cmd_residual,1716515701,,True,1,9e24170d,2024-05-23_21-55-01,968.6567752361298,968.6567752361298,1583974,CICSUNIX-US-003,172.31.105.37,968.6567752361298,1,0.009744645606760678,0.11927063034448443,10,2,9e24170d
