,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/gamma,config/SN,config/K_shot,logdir
0,1.9905224943852065,0.4203130548639179,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202414_06_14_cmd_residual,1717699446,,False,1,2d9c995c,2024-06-06_14-44-06,2271.951474905014,2271.951474905014,13497,CICSUNIX-US-003,172.31.105.37,2271.951474905014,1,0.00030177633472018177,0.15491699953444318,80,128,40,16,20,8,50,2d9c995c
1,2.182271974901842,0.46874506583247766,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202414_06_16_cmd_residual,1717699468,,True,1,0dee0ab2,2024-06-06_14-44-28,2292.2053623199463,2292.2053623199463,13714,CICSUNIX-US-003,172.31.105.37,2292.2053623199463,1,0.0001514824984233763,0.16314921784412056,70,256,50,12,20,2,50,0dee0ab2
2,6.733473664097638,1.6932780216537842,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202414_44_08_cmd_residual,1717701371,,True,1,d5e9feec,2024-06-06_15-16-11,1922.368751525879,1922.368751525879,422487,CICSUNIX-US-003,172.31.105.37,1922.368751525879,1,5.094474349702831e-06,0.1990585813775402,80,90,60,6,10,2,50,d5e9feec
3,3.540529961060482,0.885917689605087,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202414_44_29_cmd_residual,1717702290,,True,1,d507e2c4,2024-06-06_15-31-30,2820.7247664928436,2820.7247664928436,423722,CICSUNIX-US-003,172.31.105.37,2820.7247664928436,1,5.360128929499527e-05,0.17833811337763775,128,80,60,16,10,4,50,d507e2c4
4,2.2213755372566424,0.4612977884154971,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202415_16_13_cmd_residual,1717703616,,True,1,2a2f8bf3,2024-06-06_15-53-36,2242.884099960327,2242.884099960327,783059,CICSUNIX-US-003,172.31.105.37,2242.884099960327,1,0.0001643478633811731,0.18219481586864802,100,90,40,6,20,8,50,2a2f8bf3
5,3.180482784409751,0.7690293242888996,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202415_31_32_cmd_residual,1717704387,,True,1,75af1e5d,2024-06-06_16-06-27,2095.2660069465637,2095.2660069465637,929968,CICSUNIX-US-003,172.31.105.37,2095.2660069465637,1,0.0001037833663197096,0.10810761716854592,70,40,80,16,20,6,50,75af1e5d
6,5.284645099152073,1.3166523000369843,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202415_53_38_cmd_residual,1717705872,,True,1,6607e12d,2024-06-06_16-31-12,2254.452786207199,2254.452786207199,1193135,CICSUNIX-US-003,172.31.105.37,2254.452786207199,1,1.4037462717731552e-05,0.17103248669317853,70,90,60,12,10,4,32,6607e12d
7,6.237016645176027,1.5806363730374124,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202416_06_29_cmd_residual,1717706671,,True,1,b5d76b38,2024-06-06_16-44-31,2282.050854444504,2282.050854444504,1340142,CICSUNIX-US-003,172.31.105.37,2282.050854444504,1,1.0190493252066901e-05,0.19080883937333865,50,256,128,6,10,8,50,b5d76b38
8,1.7513442396645225,0.3396324576050902,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202416_31_14_cmd_residual,1717708104,,False,1,91e2e074,2024-06-06_17-08-24,2230.0006346702576,2230.0006346702576,1610575,CICSUNIX-US-003,172.31.105.37,2230.0006346702576,1,0.00042114255707778955,0.16538960224768867,100,100,10,10,20,6,50,91e2e074
9,5.163318814579043,1.4064856790360463,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202416_44_33_cmd_residual,1717708469,,True,1,19574106,2024-06-06_17-14-29,1795.4476461410522,1795.4476461410522,1751209,CICSUNIX-US-003,172.31.105.37,1795.4476461410522,1,2.452724404917896e-05,0.08835541872961745,50,40,30,8,20,8,50,19574106
10,2.3738174035966715,0.5204182938865639,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202417_08_26_cmd_residual,1717710891,,True,1,1ce1e214,2024-06-06_17-54-51,2784.8238110542297,2784.8238110542297,2052041,CICSUNIX-US-003,172.31.105.37,2784.8238110542297,1,0.0001139803162238772,0.07345333086180127,256,50,80,14,10,2,50,1ce1e214
11,6.051115349059118,1.5608672102878143,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202417_14_31_cmd_residual,1717710454,,True,1,fe90b26a,2024-06-06_17-47-34,1983.5412194728851,1983.5412194728851,2097916,CICSUNIX-US-003,172.31.105.37,1983.5412194728851,1,6.677073717392558e-06,0.06183887555436212,50,60,60,12,20,6,50,fe90b26a
12,1.8437230335839283,0.33907090904909454,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_06_202417_47_37_cmd_residual,1717712641,,False,1,b18e15db,2024-06-06_18-24-01,2184.54483127594,2184.54483127594,2472085,CICSUNIX-US-003,172.31.105.37,2184.54483127594,1,0.0023151889298136685,0.0176070785530886,90,100,10,10,20,6,32,b18e15db
