,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/gamma,config/SN,logdir
0,6.638186059380442,1.5199591799600556,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_31_cmd_res_ex_80_100_a10_h20_e500,1719585967,,True,1,500e60ba,2024-06-28_10-46-07,2735.994677066803,2735.994677066803,2110331,CICSUNIX-US-003,172.31.105.37,2735.994677066803,1,1.0229510979068765e-05,0.041475411432372086,80,100,20,10,10,4,500e60ba
1,3.291196100032514,0.7157602781432902,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_33_cmd_res_ex_90_128_a16_h50_e500,1719585932,,True,1,cf1b6103,2024-06-28_10-45-32,2698.751590013504,2698.751590013504,2110845,CICSUNIX-US-003,172.31.105.37,2698.751590013504,1,0.0002479525999876606,0.026265905284589282,90,128,50,16,20,2,cf1b6103
2,3.639815664575754,0.7654366174353764,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_34_cmd_res_ex_128_90_a6_h128_e500,1719585948,,True,1,c05dea3b,2024-06-28_10-45-48,2713.382506608963,2713.382506608963,2111343,CICSUNIX-US-003,172.31.105.37,2713.382506608963,1,9.297981394927448e-05,0.1166527937903298,128,90,128,6,20,6,c05dea3b
3,2.8150531730066133,0.5509037880424031,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_36_cmd_res_ex_80_128_a8_h60_e500,1719585938,,True,1,3e7756d5,2024-06-28_10-45-38,2702.0519671440125,2702.0519671440125,2111845,CICSUNIX-US-003,172.31.105.37,2702.0519671440125,1,0.003688815837389265,0.023164936240331453,80,128,60,8,20,4,3e7756d5
4,2.8296991291887337,0.6073760976206026,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_37_cmd_res_ex_70_90_a14_h20_e500,1719585912,,False,1,7b4ad524,2024-06-28_10-45-12,2674.5938198566437,2674.5938198566437,2112574,CICSUNIX-US-003,172.31.105.37,2674.5938198566437,1,0.0023103424252045816,0.11182593524082474,70,90,20,14,20,4,7b4ad524
5,3.071438719416745,0.6383058790280044,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_39_cmd_res_ex_80_256_a16_h60_e500,1719586031,,True,1,2e26268e,2024-06-28_10-47-11,2792.2407529354095,2792.2407529354095,2112996,CICSUNIX-US-003,172.31.105.37,2792.2407529354095,1,0.00031799037182577463,0.16098062654987458,80,256,60,16,20,4,2e26268e
6,5.2704990404676035,1.230712598612042,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_41_cmd_res_ex_128_70_a16_h50_e500,1719585966,,True,1,569ba9c5,2024-06-28_10-46-06,2725.2194697856903,2725.2194697856903,2113414,CICSUNIX-US-003,172.31.105.37,2725.2194697856903,1,1.8122918949435336e-05,0.05343230337513888,128,70,50,16,20,4,569ba9c5
7,5.494018341030569,1.3425897775204396,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_43_cmd_res_ex_100_90_a6_h100_e500,1719585954,,True,1,1054654c,2024-06-28_10-45-54,2711.898059129715,2711.898059129715,2113849,CICSUNIX-US-003,172.31.105.37,2711.898059129715,1,2.403418016160814e-05,0.06744303949956172,100,90,100,6,20,2,1054654c
8,2.685749185131436,0.5398836138940122,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_45_cmd_res_ex_100_100_a6_h50_e500,1719585931,,False,1,4fb6eb16,2024-06-28_10-45-31,2686.2683448791504,2686.2683448791504,2114404,CICSUNIX-US-003,172.31.105.37,2686.2683448791504,1,0.001099114168036584,0.16764577174025833,100,100,50,6,20,4,4fb6eb16
9,3.860790154839402,0.8455588387229195,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202410_00_47_cmd_res_ex_100_100_a12_h80_e500,1719585957,,True,1,f70b6b17,2024-06-28_10-45-57,2710.2594995498657,2710.2594995498657,2114957,CICSUNIX-US-003,172.31.105.37,2710.2594995498657,1,0.00010427918659082612,0.1210826067118207,100,100,80,12,10,4,f70b6b17
